ID;m/z;RT/min;Identity;Formula
150;118.08625;0.7;Betaine;C5H11NO2
595;176.05535;0.78;N-Acetyl-L-aspartic acid;C6H9NO5
596;293.09794;0.8;Edetic acid;C10H16N2O8
597;148.06043;0.83;Glutamic acid;C5H9NO4
321;148.06098;0.83;Itaconic acid;C5H6O4
330;162.11247;0.9;L-Carnitine;C7H15NO3
217;103.06144;0.96;Dicyandiamidine;C2H6N4O
470;109.07602;0.96;p-Phenylenediamine;C6H8N2
472;160.1332;0.96;Pregabalin;C8H17NO2
671;365.1054315;0.96;Sucrose;C12H22O11
178;104.10699;1.0;Choline;C5H14NO+
346;127.07267;1.07;Melamine;C3H6N6
568;150.11247;1.15;Triethanolamine;C6H15NO3
355;130.10872;1.25;Metformin;C4H11N5
81;139.0502;1.35;4-Nitroaniline;C6H6N2O2
290;152.05669;1.5;Guanine;C5H5N5O
212;126.12772;1.85;Diallyldimethylammonium cation;C8H16N+
172;146.01157;1.9;Chloridazon-desphenyl;C4H4ClN3O
104;136.06177;1.99;Adenine;C5H5N5
188;308.05065;10.0;Clopidogrel carboxylic acid;C15H14ClNO2S
258;207.15909;10.01;Ethanol, 2-[2-(2-butoxyethoxy)ethoxy]-;C10H22O4
577;446.03522;10.01;Tritosulfuron;C13H9F6N5O4S
618;242.28423;10.04;Tetrabutylammonium;C16H36N+
283;154.12264;10.05;Gabapentin-lactam;C9H15NO
503;198.13494;10.05;Secbumeton-desethyl;C8H15N5O
617;316.11142;10.06;4-Hydroxy Omeprazole Sulfide;C16H17N3O2S
367;280.15433;10.13;Metolachlor OA;C15H21NO4
619;147.09167;10.18;5,6-Dimethylbenzimidazole;C9H10N2
388;275.15427;10.18;N-Benzyl-2,3-dihydro-1H-cyclopenta[b]quinolin-9-amine;C19H18N2
433;253.09715;10.2;Oxcarbazepine;C15H12N2O2
366;330.13697;10.23;Metolachlor ESA;C15H23NO5S
398;200.07398;10.3;N-Ethyl-4-methylbenzenesulfonamide;C9H13NO2S
374;200.08521;10.31;Metribuzin-desamino;C8H13N3OS
132;390.10845;10.34;Azoxystrobin (free acid);C21H15N3O5
242;217.07768;10.35;Diphenylmethylphosphine oxide;C13H13OP
391;291.2067;10.4;D 617;C17H26N2O2
325;358.20128;10.4;Laudanosine;C21H27NO4
413;260.1645;10.4;Nortilidine;C16H21NO2
386;178.12264;10.43;N-Acetylamphetamine;C11H15NO
155;326.23258;10.5;Bisoprolol;C18H31NO4
415;241.13354;10.5;NPE_241.1335_10.8;C15H16N2O
377;269.10513;10.52;Moclobemide;C13H17ClN2O2
506;202.0854;10.58;Simazine;C7H12ClN5
483;210.11247;10.6;Propoxur;C11H15NO3
583;278.21146;10.65;Venlafaxine;C17H27NO2
297;253.1659;10.77;Hexazinone;C12H20N4O2
203;325.22744;10.78;Denatonium;C21H29N2O+
429;280.05334;10.78;Orbencarb;C12H16ClNOS
523;284.96116;10.78;TCEP;C6H12Cl3O4P
569;277.12818;10.9;Triethyl citrate;C12H20O7
411;311.15542;10.95;Norcitalopram;C19H19FN2O
480;212.15059;10.97;Propazine-2-hydroxy;C9H17N5O
441;369.2384;11.0;Perindopril;C19H32N2O5
439;309.22716;11.01;Pentapropylene glycol;C15H32O6
531;198.13494;11.05;Terbumeton-desethyl;C8H15N5O
335;407.22103;11.1;Lincomycin;C18H34N2O6S
29;185.05971;11.17;2,3-Naphthalenedicarboxaldehyde;C12H8O2
536;202.0854;11.18;Terbuthylazine-desethyl;C7H12ClN5
271;415.14509;11.2;Flecainide;C17H20F6N2O3
416;255.14919;11.2;NPE_255.1491_11.0;C16H18N2O
533;212.15059;11.25;Terbuthylazine-2-hydroxy;C9H17N5O
86;358.20128;11.3;5-Hydroxypropafenone;C21H27NO4
181;325.17107;11.4;Citalopram;C20H21FN2O
475;226.16624;11.4;Prometon;C10H19N5O
581;388.23432;11.4;Urapidil;C20H29N5O3
261;216.15942;11.41;Ethyl N-acetyl-N-butyl-beta-alaninate;C11H21NO3
317;179.11789;11.41;Isoproturon-didemethyl;C10H14N2O
151;308.22202;11.5;Betaxolol;C18H29NO3
339;423.16946;11.5;Losartan;C22H23ClN6O
347;180.17468;11.5;Memantine;C12H21N
163;237.10224;11.51;Carbamazepine;C15H12N2O
437;384.08241;11.51;Pantoprazole;C16H15F2N3O4S
484;231.14919;11.54;Propyphenazon;C14H18N2O
58;175.07536;11.56;3,6-Dimethylchromone;C11H10O2
675;294.2063697;11.6;Venlafaxine N-Oxide;C17H27NO3
276;233.08962;11.72;Fluometuron;C10H11F3N2O
389;214.08963;11.81;N-Butylbenzenesulphonamide;C10H15NO2S
177;213.07892;11.87;Chlortoluron;C10H13ClN2O
293;391.22996;11.89;HMMM;C15H30N6O6
412;169.07602;11.9;Norharman;C11H8N2
122;212.15059;11.95;Atraton;C9H17N5O
216;296.02396;12.0;Diclofenac;C14H11Cl2NO2
269;502.29518;12.0;Fexofenadine;C32H39NO4
670;259.007666;12.0;Metobromuron;C9H11BrN2O2
266;319.07316;12.12;Fenofibric acid;C17H15ClO4
5;165.09101;12.19;1-(2-Hydroxy-4,5-dimethylphenyl)ethanone;C10H12O2
123;216.10105;12.2;Atrazine;C8H14ClN5
291;183.09167;12.2;Harman;C12H10N2
289;353.07864;12.29;Griseofulvin;C17H17ClO6
22;221.07431;12.35;2-(4-Morpholinyl)benzothiazole;C11H12N2OS
352;278.10547;12.4;Metazachlor;C14H16ClN3O
201;192.13829;12.41;DEET;C12H17NO
594;258.13831;12.44;Terbutryn-OH;C10H19N5OS
316;207.14919;12.45;Isoproturon;C12H18N2O
494;417.2384;12.45;Ramipril;C23H32N2O5
311;429.23974;12.5;Irbesartan;C25H28N6O
209;191.16417;12.52;Di(propylene glycol) butyl ether;C10H22O3
314;214.11209;12.53;Irgarol-descyclopropyl;C8H15N5S
432;287.05818;12.53;Oxazepam;C15H11ClN2O2
647;367.269;12.62;Hexapropylene glycol;C18H38O7
349;280.15433;12.63;Metalaxyl;C15H21NO4
238;245.08083;12.66;Dioxybenzone;C14H12O4
205;223.09648;12.69;DEP;C12H14O4
589;308.17574;12.7;Zolpidem;C19H21N3O
588;245.20122;12.74;Xylometazoline;C16H24N2
9;149.02332;12.75;1,2-Benzenedicarboxylic acid;C8H6O4
620;296.12159;12.82;Norquetiapine;C17H17N3S
621;368.08749;12.82;Pantoprazole sulfide;C16H15F2N3O3S
528;301.07383;12.91;Temazepam;C16H13ClN2O2
174;290.14185;12.93;Chloropyramine;C16H20ClN3
226;256.10988;12.94;Dimethachlor;C13H18ClNO2
38;304.17601;13.01;2-{2-[2-(Methacryloyloxy)ethoxy]ethoxy}ethyl 2-methylacrylate;C14H22O6
107;342.08039;13.04;Alpha-Hydroxymidazolam;C18H13ClFN3O
406;158.15394;13.06;N-Isobutyl-3-methylbutanamide;C9H19NO
333;235.18049;13.12;Lidocaine;C14H22N2O
496;384.14416;13.12;Rhoeadine;C21H21NO6
414;441.27478;13.2;Norverapamil;C26H36N2O4
478;342.20637;13.2;Propafenone;C21H27NO3
464;230.17507;13.21;Picaridin;C12H23NO3
144;108.08078;13.22;Benzylamine;C7H9N
170;481.97807;13.22;Chlorantraniliprole;C18H14BrCl2N5O2
502;226.16624;13.26;Secbumeton;C10H19N5O
378;279.15909;13.3;Mono-2-ethylhexyl phthalate;C16H22O4
168;389.16265;13.32;Cetirizine;C21H25ClN2O3
206;201.13862;13.32;Dexmedetomidine;C13H16N2
146;293.10898;13.34;Benzyldiphenylphosphine oxide;C19H17OP
575;225.12502;13.36;Tripropyl phosphate;C9H21O4P
121;559.26028;13.4;Atorvastatin;C33H35FN2O5
357;310.21654;13.45;Methadone;C21H27NO
574;279.09333;13.47;Triphenylphosphine oxide;C18H15OP
